
clip-title,Mrs. Doubtfire - I Do Voices
description
thumbnail
img
src,https://www.youtube.com/embed/6wC2DqFJ7UE?start=27&end=84
clip-tags

question-text,What did the woman ask the man if he had?
incorrect,If he had kids
incorrect,If he had any previous job
incorrect,If he was married
correct,The woman asked the man if he had special skills.
question-tags

question-text,What did the man say he does?
incorrect,He said he does magic tricks.
incorrect,He said he does stand up comedy.
incorrect,He teaches voice lessons.
correct,He said he does voices.
question-tags

question-text,What is the woman thinking while the man is speaking in different voices?
incorrect,She was thinking about calling security.
correct,She is not amused by the man and considers him immature.
incorrect,She is entertained by the voices.
incorrect,She is thinking she wants him to keep on going
question-tags

question-text,What was the man’s goal in talking in different voices?
correct,To demonstrate his special skills that might help him land a job.
incorrect,To ask the woman for a job.
incorrect,To make the woman laugh
incorrect,To show his favorite hobby.
question-tags

question-text,Where does the scene take place?
correct,The scene takes place in an office.
incorrect,In a coffee shop.
incorrect,In a restaurant.
incorrect,In a comedy club.
question-tags

question-text,Why does the man say "I used to" at the end of the clip?
incorrect,Because she asked him if he does stand up comedy and he used to do that.
incorrect,Because he is trying to be funny.
correct,Because he is aware that she is not amused by him
incorrect,Because she asks him if he has a wife.
question-tags

end of quiz

clip-title,Wonder - School Tour Scene
description
thumbnail
img
src,https://www.youtube.com/embed/ceWNY5eNSWY?start=40&end=100
clip-tags

question-text,How does the girl feel about Julian asking about Auggie’s face?
incorrect,She feels Julian is funny.
incorrect,She thinks Julian is being polite.
correct,She thinks Julian is being inappropriate and rude.
incorrect,She likes Auggie more because Julian asked.
question-tags

question-text,What are these kids doing in the room in this clip?
incorrect,The kids are drawing on the black board.
correct,The kids are taking a tour of a science classroom/laboratory.
incorrect,The kids are playing catch in the room.
incorrect,The kids are working on a science project.
question-tags

question-text,What do you think the other kids think about Julian’s questions?
incorrect,That Julian is just trying to be funny.
incorrect,That Julian is just curious.
incorrect,The other kids are thankful to Julian for asking the question that they didn’t dare ask.
correct,"That Julian is very rude, inconsiderate, and he is being a bully for making Auggie feel uncomfortable."
question-tags

question-text,Why do you think the main character was shy and not talking?
correct,He suffers from a physical disfigurement and may be self-conscious about it and shy.
incorrect,He does not like the others present.
incorrect,He says that he suffers from a speech impediment.
incorrect,Because he had gotten into a fight.
question-tags

question-text,Why does Julian assume Auggie may not know much about science?
incorrect,He was held back a grade.
correct,Because he knows that Auggie was home schooled.
incorrect,Because Auggie has a learning disability.
incorrect,Because Auggie told him he doesn't know much about science.
question-tags

question-text,Why was Julian's question about Auggie’s face rude?
incorrect,It is rude to ask about his face without using proper medical terminology.
incorrect,Because he made fun his mother.
incorrect,Because he was being nosy.
correct,"It's generally considered impolite to ask blunt questions about disabilities, at least not unless the person with the disability brings it up first."
question-tags

end of quiz

clip-title,The Big Bang Theory - Positive Reinforcement
description
thumbnail
img
src,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88
clip-tags

question-text,How would the girl (Penny) feel when she finds out why she was offered chocolate repeatedly?
incorrect,She would be ok with it because she needed to change her behavior.
incorrect,She would be happy she was getting chocolate
incorrect,She would feel appreciated for being a good friend.
correct,She may feel hurt for being used.
question-tags

question-text,What does the boy (Sheldon) offer the girl (Penny)?
correct,He offers her chocolates
incorrect,He offers her cookies.
incorrect,He offers her potato chips.
incorrect,He offers her popcorn
question-tags

question-text,Why does the boy (Sheldon) keep offering chocolate to the girl?
incorrect,Because he has too much chocolate
incorrect,Because he knows she likes chocolate
incorrect,He doesn't like chocolate so he's trying to get rid of it
correct,The boy keeps offering the girl chocolate to reward her for behaviors he likes.
question-tags

question-text,Why does the girl (Penny) leave the room?
incorrect,She leaves to get the mail
incorrect,She leaves to go to school.
correct,She leaves to talk on the cell phone.
incorrect,She leaves to go to the bathroom.
question-tags

question-text,Why does the girl get up to take her phone call?
correct,She does it because the boys are watching TV and she does not want to bother him.
incorrect,She does it because she doesn't want the boys to hear her conversation.
incorrect,She does it because she has bad phone reception in the room.
incorrect,She does it because she can't hear in the room she is in.
question-tags

end of quiz

clip-title,The Office (US) - Jim and Dwight's Party Planning
description
thumbnail
img
src,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203
clip-tags

question-text,How might Kelly have reacted to Jim and Dwight if the cake had been decorated to her liking?
incorrect,She would have told them she doesn't like cake.
correct,She would have been happy and appreciative.
incorrect,She would have say that she was on a diet.
incorrect,She would have thrown it at them.
question-tags

question-text,What did the guy take out of the refrigerator?
incorrect,He found a mouse and got rid of it.
incorrect,He took out a beer.
incorrect,He took a sandwich for his lunch
correct,He took a cake out of the fridge
question-tags

question-text,What does Kelly think about her two coworkers in the clip?
correct,She is upset with them for forgetting her birthday
incorrect,She thought they were cute.
incorrect,She thought they stole something from the refrigerator
incorrect,She is happy with them for knowing that she liked plain cake
question-tags

question-text,What might Jim have done differently to make Kelly happy?
correct,He should have had the cake decorated.
incorrect,He should have given her money.
incorrect,He should have bought her a pie.
incorrect,He should have told her she liked what she was wearing.
question-tags

question-text,What might the woman (Kelly) do with the cake?
incorrect,She would eat it because she was depressed.
incorrect,She might take a picture of it and put it on Facebook.
incorrect,She might take it for another party.
correct,She might not eat it or throw it away.
question-tags

question-text,Why was the cake given to Kelly without anything on it?
correct,The guy in charge of the cake did not know how to spell her name.
incorrect,because it was bought last minute
incorrect,Kelly asked for a plain cake with nothing on it.
incorrect,They didn't have enough money to add anything to it.
question-tags

question-text,Why was the woman (Kelly) upset with the cake?
incorrect,It didn't come from her favorite cake store.
incorrect,It made her feel old because they thought it was her birthday.
correct,It wasn't decorated and didn't have her name on it.
incorrect,Because it is too small
question-tags

end of quiz

clip-title,The Devil Wears Prada - You Think This Has Nothing to Do with You
description
thumbnail
img
src,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169
clip-tags

question-text,How does the girl in the blue sweater feel after she is given the lecture from the older lady?
incorrect,She feels empowered and smart.
incorrect,She is filled with rage and throws papers at the older lady.
correct,She feels embarrassed and ashamed.
incorrect,She feel happy because her boss compliments her.
question-tags

question-text,How does the woman with short gray hair feel about the lady in the blue sweater laughing?
incorrect,She finds her cute and innocent.
correct,She thinks she is our of her place/element.
incorrect,The lady feels sad because the girl is laughing at her.
incorrect,The lady feels amused and invites her for tea.
question-tags

question-text,What two similar accessories is the older woman holding up?
incorrect,Two sets of earings.
correct,Two teal belts
incorrect,Two pairs of shoes
incorrect,Two purses
question-tags

question-text,Where does the scene take place?
incorrect,At the library
incorrect,Inside the woman's home
correct,In an office
incorrect,In a department store
question-tags

question-text,Why are the fashion designers upset at her snorting?
correct,Because her reaction shows her lack of knowledge and respect for the fashion industry.
incorrect,Because she didn't wear a buisness suit but wore casual clothes.
incorrect,because she chose the wrong animal sound.
incorrect,Because they don't like loud noises
question-tags

question-text,Why does the girl in the blue sweater snort at the woman holding the belts?
correct,Because she finds it ridiculous that the others struggle to choose between two belts which looked identical to her.
incorrect,Because the other two made a funny joke
incorrect,She was superior in nature.
incorrect,She had to sneeze
question-tags

end of quiz

clip-title,Hiden Figures - Car Trouble
description
thumbnail
img
src,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92
clip-tags

question-text,What did the police officer ask from the women?
incorrect,Their full names.
correct,Identification.
incorrect,To slow down.
incorrect,Where they worked.
question-tags

question-text,Why did the cop talk to the women?
incorrect,They were breaking the law
incorrect,He wanted to harass them.
incorrect,He was looking for a criminal on the loose.
correct,Their car was broken down on the side of the road.
question-tags

question-text,Why did the police officer act surprised when the women told him they worked at NASA?
incorrect,He didn't know NASA was nearby.
incorrect,He thought NASA only hired people who were much older.
correct,He didn't think NASA hired black women.
incorrect,He didn't believe that NASA existed.
question-tags

question-text,Why did the police officer ask the first woman if she was "being disrespectful"?
incorrect,She didn't call him by his full title.
incorrect,She rolled her eyes at him and sighed loudly.
correct,Because she talked back to him
incorrect,She didn't bow to him.
question-tags

question-text,Why did the police officer look at the sky?
incorrect,He liked watching birds fly by.
correct,He believed the Russians were watching them.
incorrect,He thought he heard an airplane fly overhead.
incorrect,He thought it was going to rain.
question-tags

end of quiz

clip-title,Boyhood - Talk to Me
description
thumbnail
img
src,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68
clip-tags

question-text,How did the boy in the backseat feel when his dad started talking?
correct,He felt annoyed by it.
incorrect,He wasn't paying attention to what his dad was saying at all.
incorrect,He thought his dad was being funny.
incorrect,He was enjoying listening to his dad.
question-tags

question-text,How did the father feel when he was talking to his kids?
incorrect,He was very giddy and excited.
incorrect,He was angry because they got in trouble at school.
incorrect,He was happy because they got good report cards.
correct,He was feeling frustrated or stressed.
question-tags

question-text,What bad habit did the dad quit?
incorrect,He quit eating fast food.
incorrect,he quit gambling
incorrect,he quit drinking
correct,He quit smoking.
question-tags

question-text,What do the kids want the dad to do?
incorrect,They want him to play with them.
incorrect,They want him to buy them Christmas presents.
correct,They want him to keep busy and to tell them about his day if he expects them to tell him about their days.
incorrect,They want him to get a job.
question-tags

question-text,What does the dad want the kids to do?
incorrect,He wants them to obey their mother.
incorrect,He wants them to do their chores.
correct,He wants them to talk to him tell him about how their days are going.
incorrect,He wants them to eat dinner
question-tags

question-text,Who are in the vehicle?
correct,Two kids and their dad.
incorrect,A man and his dog.
incorrect,"Two kids, their dad, and their mom."
incorrect,The mom and two kids.
question-tags

question-text,Why does Dad hold the boy by the shoulder?
incorrect,Because the boy was being noisy and he wanted to calm him down.
incorrect,Because he is angry.
correct,Because he's trying to make a point and emphasize what he's trying to say.
incorrect,Because the boy was jumping around in the back seat and he wanted to hold him still.
question-tags

question-text,Why was the question about the sculpture hard to answer for the girl?
incorrect,because it was from a long time ago
incorrect,Because she hadn't actually started yet and wasn't sure what she was going to do.
incorrect,because she didn't complete an art project
correct,Because it was very abstract
question-tags

end of quiz

clip-title,Rick and Morty - You Pass Butter
description
thumbnail
img
src,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60
clip-tags

question-text,How do you think Morty feels about having to choose between his grandpa and his dad as the helper?
incorrect,He is happy to have them around
incorrect,He is probably annoyed that he needs a helper at all
incorrect,Excited to choose.
correct,He probably feels frustrated and torn.
question-tags

question-text,What does Morty need help with?
incorrect,He needs to make a robot.
incorrect,He needs a ride.
correct,He needs help with a project for the science fair.
