
clip-title,Kong Fu Panda
description
thumbnail
img
src,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
clip-tags

question-text,How many characters are there in the scene?
correct,Three
incorrect,Four
incorrect,Two
incorrect,One
question-tags

question-text,How does the Panda feel after climbing the stairs?
incorrect,Sad
incorrect,Happy
incorrect,Excited
correct,Exhausted
question-tags

question-text,What does the Panda call himself?
incorrect,Buddy
correct,Dragon Warrior
incorrect,Big guy
incorrect,Master
question-tags

question-text,What is the Leopard’s attitude towards the Panda?
correct,He doesn’t believe that the Panda is the Dragon Warrior
incorrect,He wants the Panda to sit on his body
incorrect,He wants to become Panda’s master
incorrect,He wants to play with the Panda
question-tags

question-text,Why did the Leopard start the fight with the Panda?
incorrect,To prove that he is the real Dragon Warrior
incorrect,For fun
incorrect,To save lives
correct,To get the scroll
question-tags

question-text,What weapon did the Panda use to fight the Leopard?
incorrect,His own body
incorrect,A bamboo stick
incorrect,A sword
correct,The scroll
question-tags

end of quiz

clip-title,Olaf’s Frozen Adventure
description
thumbnail
img
src,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
clip-tags

question-text,Which season is it in the scene?
incorrect,Fall
correct,Winter
incorrect,Summer
incorrect,Spring
question-tags

question-text,What is the relationship between Olaf (the snowman) and Sven (the reindeer)?
incorrect,Sven is Olaf’s best friend
incorrect,Sven is Olaf’s pet
correct,Sven is Olaf’s associate
incorrect,Sven is Olaf’s teacher
question-tags

question-text,How did the kid feel when he saw Olaf?
incorrect,Unmoved
incorrect,Worried
correct,Excited
incorrect,Disappointing
question-tags

question-text,What is Olaf doing here?
incorrect,Looking for someone who can give him a new nose
incorrect,Looking for someone who can give him a hug
correct,Looking for family traditions
incorrect,Looking for someone who can give him a candy cane
question-tags

question-text,What did Olaf do when he got the candy cane?
incorrect,He ate the candy cane immediately
incorrect,He gave the kid a warm hug
correct,He used it as his new nose
incorrect,He said thank you to the family
question-tags

question-text,Why did the kid want Olaf to eat the candy cane?
correct,Because it was that time of the year
incorrect,Because candy cane was Olaf’s favorite food
incorrect,He wanted to make fun of Olaf
incorrect,He wanted Olaf to eat his new nose
question-tags

end of quiz

clip-title,Trolls (2016)
description
thumbnail
img
src,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
clip-tags

question-text,Why are the trolls running in the tunnel?
incorrect,To have their daily exercise
incorrect,To choose the fastest troll in the kingdom
