Number,title,Clip_Link,Start_Timestamp,End_Timestamp,Duration,question,correct_answer,incorrect_answer1,incorrect_answer2,incorrect_answer3,embed_url
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,How many characters are there in the scene?,Three,One,Two,Four,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,How does the Panda feel after climbing the stairs?,Exhausted,Excited,Happy,Sad,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,What does the Panda call himself?,Dragon Warrior,Buddy,Big guy,Master,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,What is the Leopard’s attitude towards the Panda?,He doesn’t believe that the Panda is the Dragon Warrior,He wants the Panda to sit on his body,He wants to play with the Panda,He wants to become Panda’s master,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,Why did the Leopard start the fight with the Panda?,To get the scroll,To prove that he is the real Dragon Warrior,For fun,To save lives,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
1,Kong Fu Panda,https://www.youtube.com/watch?v=AhbCYVILusc&t=75s,0,1:10,1:10,What weapon did the Panda use to fight the Leopard?,The scroll,His own body,A bamboo stick,A sword,https://www.youtube.com/embed/AhbCYVILusc?start=0&end=70
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,Which season is it in the scene?,Winter,Spring,Summer,Fall,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,What is the relationship between Olaf (the snowman) and Sven (the reindeer)?,Sven is Olaf’s associate,Sven is Olaf’s best friend,Sven is Olaf’s teacher,Sven is Olaf’s pet,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,How did the kid feel when he saw Olaf?,Excited,Worried,Disappointing,Unmoved,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,What is Olaf doing here?,Looking for family traditions,Looking for someone who can give him a hug,Looking for someone who can give him a candy cane,Looking for someone who can give him a new nose,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,What did Olaf do when he got the candy cane?,He used it as his new nose,He ate the candy cane immediately,He said thank you to the family,He gave the kid a warm hug,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
2,Olaf’s Frozen Adventure,https://www.youtube.com/watch?v=nLGBEETtEPc,0,0:41,0:41,Why did the kid want Olaf to eat the candy cane?,Because it was that time of the year,He wanted to make fun of Olaf,He wanted Olaf to eat his new nose,Because candy cane was Olaf’s favorite food,https://www.youtube.com/embed/nLGBEETtEPc?start=0&end=41
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,Why are the trolls running in the tunnel?,To escape from their enemy,To have their daily exercise,To choose the fastest troll in the kingdom,To choose the king,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,What is the relationship between the pink baby and the King?,The baby is the King’s daughter,The baby is the King’s niece,The baby is the King’s son,The baby is the King’s food,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,Why did the King keep taking his clothes off?,To cover the barriers for his villagers,To show his muscles,To get new clothes,To make himself feel much cooler,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,"When the troll’s enemy said “He’ll be happy”, what did he mean?",To get the trolls and make the Prince happy,To build the new kingdom and make the Prince happy,The Prince should be happy since he’s the prince,The Prince was happy then,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,"When the King said “no troll left behind”, what did he mean?",He wanted to save all the villagers from their enemy,He wanted to become the fastest one in the kingdom,He wanted to sacrifice himself for his villagers,He wanted to sacrifice the baby for his villagers,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
3,Trolls (2016),https://www.youtube.com/watch?v=wWRnv1V8iUY,1:08,2:28,1:20,How did the villagers feel when they found their King was alive?,Happy,Confused,Nervous,Sad,https://www.youtube.com/embed/wWRnv1V8iUY?start=68&end=148
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,What were they planning to do at the beginning of the scene?,To make a traditional dragon feast,To kill the dragon,To celebrate the Christmas,To build a snowman,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
4,How to Train Your Dragon,https://www.youtube.com/watch?v=CehPixdKUuE,0,1:09,1:09,Why did the girl build the defense system?,To defend from dragons,To play with her brother,To let her father be proud of herself,To hurt her father,https://www.youtube.com/embed/CehPixdKUuE?start=0&end=69
